"faa","name","state","lat","lon","alt","tz","tzone"
"4I7","Putnam County Airport","Indiana",39.6335556,-86.8138056,842,-5,"America/New_York"
"4U9","Dell Flight Strip","Montana",44.7357483,-112.7200133,6007,-7,"America/Denver"
"52A","Madison GA Municipal Airport","Georgia",33.612125,-83.4604444,694,-5,"America/New_York"
"54J","DeFuniak Springs Airport","Florida",30.7311111,-86.1537778,289,-6,"America/Chicago"
"55J","Fernandina Beach Municipal Airport","Florida",30.6118333,-81.4611944,16,-5,"America/New_York"
"55S","Packwood","Washington",46.3625,-121.4067,1057,-8,"America/Los_Angeles"
"57C","East Troy Municipal Airport","Wisconsin",42.7971667,-88.3726111,860,-6,"America/Chicago"
"5B2","Saratoga County Airport","New York",43.050722,-73.861638,433,-5,"America/New_York"
"60J","Ocean Isle Beach Airport","North Carolina",33.9085056,-78.4366722,32,-5,"America/New_York"
"6A2","Griffin-Spalding County Airport","Georgia",33.2269722,-84.2749444,958,-5,"America/New_York"
"6J4","Saluda County","South Carolina",33.5561,-81.4768,539,-5,"America/New_York"
"6K8","Tok Junction Airport","Alaska",63.329444,-142.953611,1639,-9,"America/Anchorage"
"6S0","Big Timber Airport","Montana",45.8063889,-109.9811111,4492,-7,"America/Denver"
"6S2","Florence","Oregon",43.9828168,-124.1113687,51,-8,"America/Los_Angeles"
"6Y8","Welke Airport","Michigan",45.721111,-85.520278,664,-5,"America/New_York"
"70J","Cairo-Grady County Airport","Georgia",30.8879767,-84.1547353,265,-5,"America/New_York"
"70N","Spring Hill Airport","Pennsylvania",41.3473569,-75.4158972,1729,-5,"America/New_York"
"7A4","Foster Field","Illinois",42.4664444,-90.1693889,990,-6,"America/Chicago"
"7D9","Germack Airport","Ohio",41.7778322,-80.9039797,820,-5,"America/New_York"
"7N7","Spitfire Aerodrome","New Jersey",39.7355633,-75.3977211,40,-5,"America/New_York"
"8M8","Garland Airport","Michigan",44.8065278,-84.2761944,1218,-5,"America/New_York"
"93C","Richland Airport","Wisconsin",43.2833575,-90.2982819,742,-6,"America/Chicago"
"99N","Bamberg County Airport","South Carolina",33.3045278,-81.1084167,231,-5,"America/New_York"
"9A1","Covington Municipal Airport","Georgia",33.6323083,-83.8474472,809,-5,"America/New_York"
"9A5","Barwick Lafayette Airport","Georgia",34.6884792,-85.2903319,777,-5,"America/New_York"
"9G1","Rock Airport","Pennsylvania",40.6035463,-79.8261189,1063,-5,"America/New_York"
"A39","Phoenix Regional Airport","Arizona",32.99169921875,-111.920997619629,1300,-7,"America/Phoenix"
"A50","Colorado Springs East","Colorado",38.87,-104.41,6145,-7,"America/Denver"
"AAF","Apalachicola Regional Airport","Florida",29.7276066,-85.0274416,20,-5,"America/New_York"
"AAP","Andrau Airport","Texas",29.43,-95.35,80,-6,"America/Chicago"
"ABE","Lehigh Valley Intl","Pennsylvania",40.652083,-75.440806,393,-5,"America/New_York"
"ABI","Abilene Rgnl","Texas",32.411319,-99.681897,1791,-6,"America/Chicago"
"ABL","Ambler Airport","Alaska",67.106389,-157.8575,334,-9,"America/Anchorage"
"ABQ","Albuquerque International Sunport","New Mexico",35.0402222,-106.6091944,5355,-7,"America/Denver"
"ABR","Aberdeen Regional Airport","South Dakota",45.4491,-98.4218,1302,-6,"America/Chicago"
"ABY","Southwest Georgia Regional Airport","Georgia",31.5355,-84.1945,197,-5,"America/New_York"
"ACJ","Jimmy Carter Regional","Georgia",32.0665,-84.1133,468,-5,"America/New_York"
"ACK","Nantucket Mem",NA,41.253053,-70.060181,48,-5,"America/New_York"
"ACT","Waco Rgnl","Texas",31.611289,-97.230519,516,-6,"America/Chicago"
"ACV","Arcata","California",40.978111,-124.108611,221,-8,"America/Los_Angeles"
"ACY","Atlantic City Intl","New Jersey",39.457583,-74.577167,75,-5,"America/New_York"
"ADK","Adak Airport","Alaska",51.878,-176.646,18,-9,"America/Anchorage"
"ADM","Ardmore Muni","Oklahoma",34.300833,-97.008889,762,-6,"America/Chicago"
"ADQ","Kodiak","Alaska",57.749967,-152.493856,78,-9,"America/Anchorage"
"ADS","Addison","Texas",32.9685594,-96.8364478,644,-6,"America/Chicago"
"ADW","Andrews Afb","Maryland",38.810806,-76.867028,280,-5,"America/New_York"
"AET","Allakaket Airport","Alaska",66.5519,-152.6222,441,-9,"America/Anchorage"
"AEX","Alexandria Intl","Louisiana",31.3274,-92.549833,89,-6,"America/Chicago"
"AFE","Kake Airport","Alaska",56.961389,-133.910278,172,-9,"America/Anchorage"
"AFW","Fort Worth Alliance Airport","Texas",32.987778,-97.318889,722,-6,"America/Chicago"
"AGC","Allegheny County Airport","Pennsylvania",40.3544,-79.9302,1252,-5,"America/New_York"
"AGN","Angoon Seaplane Base","Alaska",57.503611,-134.585,0,-9,"America/Anchorage"
"AGS","Augusta Rgnl At Bush Fld","Georgia",33.369944,-81.9645,144,-5,"America/New_York"
"AHN","Athens Ben Epps Airport","Georgia",33.9486,-83.3263,808,-5,"America/New_York"
"AIA","Alliance Municipal Airport","Nebraska",42.053333,-102.803889,3931,-7,"America/Denver"
"AIK","Municipal Airport","South Carolina",33.6493889,-81.6850278,529,-5,"America/New_York"
"AIN","Wainwright Airport","Alaska",70.638056,-159.994722,41,-9,"America/Anchorage"
"AIZ","Lee C Fine Memorial Airport","Missouri",38.096035,-92.5494875,869,-6,"America/Chicago"
"AKB","Atka Airport","Alaska",52.220278,-174.206389,56,-9,"America/Anchorage"
"AKC","Akron Fulton Intl","Ohio",41.0375,-81.466917,1067,-5,"America/New_York"
"AKI","Akiak Airport","Alaska",60.902778,-161.230556,30,-9,"America/Anchorage"
"AKK","Akhiok Airport","Alaska",56.938611,-154.1825,44,-9,"America/Anchorage"
"AKN","King Salmon","Alaska",58.676778,-156.649278,68,-9,"America/Anchorage"
"AKP","Anaktuvuk Pass Airport","Alaska",68.1336,-151.743,2103,-9,"America/Anchorage"
"ALB","Albany Intl","New York",42.748267,-73.801692,285,-5,"America/New_York"
"ALI","Alice Intl","Texas",27.740889,-98.026944,178,-6,"America/Chicago"
"ALM","Alamogordo White Sands Regional Airport","New Mexico",32.8399,-105.991,4200,-7,"America/Denver"
"ALO","Waterloo Regional Airport","Iowa",42.5571,-92.4003,873,-6,"America/Chicago"
"ALS","San Luis Valley Regional Airport","Colorado",37.435,-105.866667,7539,-7,"America/Denver"
"ALW","Walla Walla Regional Airport","Washington",46.0949,-118.288,1191,-8,"America/Los_Angeles"
"ALX","Alexandria","Virginia",38.806346,-77.0621,1,-5,"America/New_York"
"ALZ","Alitak Seaplane Base","Alaska",56.899444,-154.247778,0,-9,"America/Anchorage"
"AMA","Rick Husband Amarillo Intl","Texas",35.219369,-101.705931,3607,-6,"America/Chicago"
"ANB","Anniston Metro","Alabama",33.588167,-85.858111,612,-6,"America/Chicago"
"ANC","Ted Stevens Anchorage Intl","Alaska",61.174361,-149.996361,152,-9,"America/Anchorage"
"AND","Anderson Rgnl","South Carolina",34.494583,-82.709389,782,-5,"America/New_York"
"ANI","Aniak Airport","Alaska",61.5816,-159.543,88,-9,"America/Anchorage"
"ANN","Annette Island","Alaska",55.042436,-131.572233,119,-9,"America/Anchorage"
"ANP","Lee Airport","Maryland",38.942778,-76.568333,34,-5,"America/New_York"
"ANQ","Tri-State Steuben County Airport","Indiana",41.6396983,-85.0834933,995,-5,"America/New_York"
"ANV","Anvik Airport","Alaska",62.6467,-160.191,309,-9,"America/Anchorage"
"AOH","Lima Allen County Airport","Ohio",40.707478,-84.0270781,975,-5,"America/New_York"
"AOO","Altoona Blair Co","Pennsylvania",40.296372,-78.320022,1504,-5,"America/New_York"
"AOS","Amook Bay Seaplane Base","Alaska",57.471389,-153.815278,0,-9,"America/Anchorage"
"APA","Centennial","Colorado",39.570129,-104.849294,5883,-7,"America/Denver"
"APC","Napa County Airport","California",38.2131944,-122.2806944,35,-8,"America/Los_Angeles"
"APF","Naples Muni","Florida",26.152619,-81.775294,8,-5,"America/New_York"
"APG","Phillips Aaf","Maryland",39.466219,-76.168808,57,-5,"America/New_York"
"APN","Alpena County Regional Airport","Michigan",45.0781,-83.5603,689,-5,"America/New_York"
"AQC","Klawock Seaplane Base","Alaska",55.554658,-133.101693,0,-9,"America/Anchorage"
"ARA","Acadiana Rgnl","Louisiana",30.037758,-91.883896,24,-6,"America/Chicago"
"ARB","Ann Arbor Municipal Airport","Michigan",42.132274,-83.444418,839,-5,"America/New_York"
"ARC","Arctic Village Airport","Alaska",68.1147,-145.579,2092,-9,"America/Anchorage"
"ART","Watertown Intl","New York",43.991922,-76.021739,325,-5,"America/New_York"
"ARV","Lakeland","Wisconsin",45.927778,-89.730833,1629,-6,"America/Chicago"
"ASE","Aspen Pitkin County Sardy Field","Colorado",39.2232,-106.869,7820,-7,"America/Denver"
"ASH","Boire Field Airport","New Hampshire",42.78175,-71.5147778,199,-5,"America/New_York"
"AST","Astoria Regional Airport","Oregon",46.157972,-123.878694,15,-8,"America/Los_Angeles"
"ATK","Atqasuk Edward Burnell Sr Memorial Airport","Alaska",70.4673,-157.436,96,-9,"America/Anchorage"
"ATL","Hartsfield Jackson Atlanta Intl","Georgia",33.636719,-84.428067,1026,-5,"America/New_York"
"ATT","Camp Mabry Austin City","Texas",30.31666,-97.7666,0,-6,"America/Chicago"
"ATW","Appleton","Wisconsin",44.257526,-88.507576,680,-6,"America/Chicago"
"ATY","Watertown Regional Airport","South Dakota",44.914,-97.1547,1748,-6,"America/Chicago"
"AUG","Augusta State","Maine",44.320647,-69.797317,352,-5,"America/New_York"
"AUK","Alakanuk Airport","Alaska",62.68,-164.66,10,-9,"America/Anchorage"
"AUO","Auburn University Regional","Alabama",32.3691,-85.2604,777,-6,"America/Chicago"
"AUS","Austin Bergstrom Intl","Texas",30.194528,-97.669889,542,-6,"America/Chicago"
"AUW","Wausau Downtown Airport","Wisconsin",44.9262845,-89.6270018,1201,-6,"America/Chicago"
"AVL","Asheville Regional Airport","North Carolina",35.436194,-82.541806,2165,-5,"America/New_York"
"AVO","Executive","Florida",27.591389,-81.528889,160,-5,"America/New_York"
"AVP","Wilkes Barre Scranton Intl","Pennsylvania",41.338478,-75.723403,962,-5,"America/New_York"
"AVW","Marana Regional","Arizona",32.409556,-111.218388,2031,-7,"America/Phoenix"
"AVX","Avalon","California",33.405,-118.415833,1602,-8,"America/Los_Angeles"
"AZA","Phoenix-Mesa Gateway","Arizona",33.307833,-111.655,1382,-7,"America/Phoenix"
"AZO","Kalamazoo","Michigan",42.234875,-85.552058,874,-5,"America/New_York"
"BAB","Beale Afb","California",39.136089,-121.436567,113,-8,"America/Los_Angeles"
"BAD","Barksdale Afb","Louisiana",32.50182,-93.662674,166,-6,"America/Chicago"
"BAF","Barnes Municipal","Massachusetts",42.1579472,-72.715875,270,-5,"America/New_York"
"BBX","Wings Field","Pennsylvania",40.1375,-75.265,302,-5,"America/New_York"
"BCE","Bryce Canyon","Utah",37.706444,-112.145806,7590,-7,"America/Denver"
"BCT","Boca Raton","Florida",26.3785,-80.107694,13,-5,"America/New_York"
"BDE","Baudette Intl","Minnesota",48.728444,-94.612222,1086,-6,"America/Chicago"
"BDL","Bradley Intl","Connecticut",41.938889,-72.683222,173,-5,"America/New_York"
"BDR","Igor I Sikorsky Mem","Connecticut",41.163472,-73.126167,9,-5,"America/New_York"
"BEC","Beech Factory Airport","Kansas",37.6939167,-97.2149167,1409,-6,"America/Chicago"
"BED","Laurence G Hanscom Fld","Massachusetts",42.469953,-71.289031,133,-5,"America/New_York"
"BEH","Southwest Michigan Regional Airport","Michigan",42.1285833,-86.4285,643,-5,"America/New_York"
"BET","Bethel","Alaska",60.779778,-161.838,121,-9,"America/Anchorage"
"BFD","Bradford Regional Airport","Pennsylvania",41.8031,-78.6401,2143,-5,"America/New_York"
"BFF","Western Nebraska Regional Airport","Nebraska",41.874,-103.596,3967,-7,"America/Denver"
"BFI","Boeing Fld King Co Intl","Washington",47.53,-122.301947,21,-8,"America/Los_Angeles"
"BFL","Meadows Fld","California",35.433598,-119.05677,507,-8,"America/Los_Angeles"
"BFM","Mobile Downtown","Alabama",30.626783,-88.068092,26,-6,"America/Chicago"
"BFP","Beaver Falls","Pennsylvania",40.7724722,-80.3914444,1253,-5,"America/New_York"
"BFT","Beaufort","South Carolina",32.477411,-80.723161,37,-5,"America/New_York"
"BGE","Decatur County Industrial Air Park","Georgia",30.9715981,-84.6369278,141,-5,"America/New_York"
"BGM","Greater Binghamton Edwin A Link Fld","New York",42.208689,-75.979839,1636,-5,"America/New_York"
"BGR","Bangor Intl","Maine",44.807444,-68.828139,192,-5,"America/New_York"
"BHB","Hancock County - Bar Harbor","Maine",44.4497689,-68.3615653,83,-5,"America/New_York"
"BHM","Birmingham Intl","Alabama",33.562942,-86.75355,644,-6,"America/Chicago"
"BID","Block Island State Airport",NA,41.168056,-71.577778,108,-5,"America/New_York"
"BIF","Biggs Aaf","Texas",31.849528,-106.380039,3948,-7,"America/Denver"
"BIG","Allen Aaf","Alaska",63.994547,-145.721642,1291,-9,"America/Anchorage"
"BIL","Billings Logan International Airport","Montana",45.80921,-108.537654,3652,-7,"America/Denver"
"BIS","Bismarck Municipal Airport","North Dakota",46.775842,-100.757931,1661,-6,"America/Chicago"
"BIV","Tulip City Airport","Michigan",42.7427778,-86.1078333,698,-5,"America/New_York"
"BIX","Keesler Afb","Mississippi",30.410425,-88.924433,33,-6,"America/Chicago"
"BJC","Rocky Mountain Metropolitan Airport","Colorado",39.90888888,-105.11722222,5670,-7,"America/Denver"
"BJI","Bemidji Regional Airport","Minnesota",47.510722,-94.934722,1391,-6,"America/Chicago"
"BKC","Buckland Airport","Alaska",65.981667,-161.149167,31,-9,"America/Anchorage"
"BKD","Stephens Co","Texas",32.719047,-98.891,1284,-6,"America/Chicago"
"BKF","Buckley Afb","Colorado",39.701668,-104.75166,5662,-7,"America/Denver"
"BKG","Branson LLC","Missouri",36.531994,-93.200556,1302,-6,"America/Chicago"
"BKH","Barking Sands Pmrf","Hawaii",22.022833,-159.785,23,-10,"Pacific/Honolulu"
"BKL","Burke Lakefront Airport","Ohio",41.5175,-81.683333,583,-5,"America/New_York"
"BKW","Raleigh County Memorial Airport","West Virginia",37.7873,-81.1242,2504,-5,"America/New_York"
"BKX","Brookings Regional Airport","South Dakota",44.3048,-96.8169,1648,-6,"America/Chicago"
"BLD","Boulder City Municipal Airport","Arizona",35.5651,-114.514,2201,-7,"America/Phoenix"
"BLF","Mercer County Airport","West Virginia",37.2958,-81.2077,2857,-5,"America/New_York"
"BLH","Blythe Airport","California",33.619167,-114.716889,399,-8,"America/Los_Angeles"
"BLI","Bellingham Intl","Washington",48.792694,-122.537528,170,-8,"America/Los_Angeles"
"BLV","Scott Afb Midamerica","Illinois",38.545178,-89.835183,459,-6,"America/Chicago"
"BMC","Brigham City","Utah",41.552,-112.062,4229,-7,"America/Denver"
"BMG","Monroe County Airport","Indiana",39.1460208,-86.6166805,846,-5,"America/New_York"
"BMI","Central Illinois Rgnl","Illinois",40.477111,-88.915917,871,-6,"America/Chicago"
"BMT","Beaumont Municipal","Texas",30.0702044,-94.2150967,32,-6,"America/Chicago"
"BMX","Big Mountain Afs","Alaska",59.361247,-155.258822,663,-9,"America/Anchorage"
"BNA","Nashville Intl","Tennessee",36.124472,-86.678194,599,-6,"America/Chicago"
"BOI","Boise Air Terminal","Idaho",43.564361,-116.222861,2871,-7,"America/Denver"
"BOS","General Edward Lawrence Logan Intl","Massachusetts",42.364347,-71.005181,19,-5,"America/New_York"
"BOW","Bartow Municipal Airport","Florida",27.9434,-81.7834,125,-5,"America/New_York"
"BPT","Southeast Texas Rgnl","Texas",29.950833,-94.020694,15,-6,"America/Chicago"
"BQK","Brunswick Golden Isles Airport","Georgia",31.2588,-81.4665,26,-5,"America/New_York"
"BRD","Brainerd Lakes Rgnl","Minnesota",46.398308,-94.138078,1226,-6,"America/Chicago"
"BRL","Southeast Iowa Regional Airport","Iowa",40.7832,-91.1255,698,-6,"America/Chicago"
"BRO","Brownsville South Padre Island Intl","Texas",25.906833,-97.425861,22,-6,"America/Chicago"
"BRW","Wiley Post Will Rogers Mem","Alaska",71.285446,-156.766003,44,-9,"America/Anchorage"
"BSF","Bradshaw Aaf","Hawaii",19.760056,-155.553717,6190,-10,"Pacific/Honolulu"
"BTI","Barter Island Lrrs","Alaska",70.133989,-143.581867,2,-9,"America/Anchorage"
"BTM","Bert Mooney Airport","Montana",45.954806,-112.497472,5550,-7,"America/Denver"
"BTR","Baton Rouge Metro Ryan Fld","Louisiana",30.533167,-91.149639,70,-6,"America/Chicago"
"BTT","Bettles","Alaska",66.913944,-151.529056,644,-9,"America/Anchorage"
"BTV","Burlington Intl","Vermont",44.471861,-73.153278,335,-5,"America/New_York"
"BUF","Buffalo Niagara Intl","New York",42.940525,-78.732167,724,-5,"America/New_York"
"BUR","Bob Hope","California",34.200667,-118.358667,778,-8,"America/Los_Angeles"
"BUU","Municipal Airport","Wisconsin",42.6907171,-88.3046825,780,-6,"America/Chicago"
"BUY","Burlington-Alamance Regional Airport","North Carolina",36.0485433,-79.4748892,617,-5,"America/New_York"
"BVY","Beverly Municipal Airport","Massachusetts",42.584141,-70.9161444,107,-5,"America/New_York"
"BWD","KBWD","Texas",31.7936111,-98.9565,1387,-6,"America/Chicago"
"BWG","Bowling Green-Warren County Regional Airport","Kentucky",36.9645278,-86.4196667,547,-6,"America/Chicago"
"BWI","Baltimore Washington Intl","Maryland",39.175361,-76.668333,146,-5,"America/New_York"
"BXK","Buckeye Municipal Airport","Arizona",33.420417,-112.68618,1033,-7,"America/Phoenix"
"BXS","Borrego Valley Airport","California",33.2590278,-116.3209722,520,-8,"America/Los_Angeles"
"BYH","Arkansas Intl","Arkansas",35.964347,-89.943956,254,-6,"America/Chicago"
"BYS","Bicycle Lake Aaf","California",35.280531,-116.630031,2350,-8,"America/Los_Angeles"
"BYW","Blakely Island Airport","Washington",48.56025,-122.80243,0,-8,"America/Los_Angeles"
"BZN","Gallatin Field","Montana",45.777643,-111.160151,4500,-7,"America/Denver"
"C02","Grand Geneva Resort Airport","Wisconsin",42.6149167,-88.3895833,835,-6,"America/Chicago"
"C16","Frasca Field","Illinois",40.144979,-88.200197,735,-6,"America/Chicago"
"C47","Portage Municipal Airport","Wisconsin",43.5603136,-89.4828607,825,-6,"America/Chicago"
"C65","Plymouth Municipal Airport","Indiana",41.3651307,-86.3002574,800,-5,"America/New_York"
"C89","Sylvania Airport","Wisconsin",42.70325,-87.9589722,785,-6,"America/Chicago"
"C91","Dowagiac Municipal Airport","Michigan",41.9929342,-86.1280125,748,-5,"America/New_York"
"CAE","Columbia Metropolitan","South Carolina",33.938833,-81.119528,236,-5,"America/New_York"
"CAK","Akron Canton Regional Airport","Ohio",40.9160833,-81.4421944,1228,-5,"America/New_York"
"CAR","Caribou Muni","Maine",46.8715,-68.017917,626,-5,"America/New_York"
"CBE","Greater Cumberland Rgnl.","Maryland",39.615278,-78.760556,775,-5,"America/New_York"
"CBM","Columbus Afb","Mississippi",33.643833,-88.443833,219,-6,"America/Chicago"
"CCO","Coweta County Airport","Georgia",33.3115656,-84.7697554,970,-5,"America/New_York"
"CCR","Buchanan Field Airport","California",37.9896667,-122.0568889,26,-8,"America/Los_Angeles"
"CDB","Cold Bay","Alaska",55.206061,-162.725436,96,-9,"America/Anchorage"
"CDC","Cedar City Rgnl","Utah",37.700967,-113.098847,5622,-7,"America/Denver"
"CDI","Cambridge Municipal Airport","Ohio",39.9750278,-81.5775833,799,-5,"America/New_York"
"CDK","CedarKey",NA,29.1342222,-83.0504722,11,-5,"America/New_York"
"CDN","Woodward Field","South Carolina",34.2835833,-80.5648611,302,-5,"America/New_York"
"CDR","Chadron Municipal Airport","Nebraska",42.8375,-103.095556,3297,-7,"America/Denver"
"CDS","Childress Muni","Texas",34.433781,-100.287992,1954,-6,"America/Chicago"
"CDV","Merle K Mudhole Smith","Alaska",60.491778,-145.477556,48,-9,"America/Anchorage"
"CDW","Caldwell Essex County Airport","New Jersey",40.8752222,-74.2813611,172,-5,"America/New_York"
"CEC","Del Norte County Airport","California",41.7802,-124.237,57,-8,"America/Los_Angeles"
"CEF","Westover Arb Metropolitan","Massachusetts",42.194014,-72.534783,241,-5,"America/New_York"
"CEM","Central Airport","Alaska",65.573889,-144.780833,937,-9,"America/Anchorage"
"CEU","Clemson","South Carolina",34.6722222,-82.8858889,891,-5,"America/New_York"
"CEW","Bob Sikes","Florida",30.778833,-86.522111,213,-6,"America/Chicago"
"CEZ","Cortez Muni","Colorado",37.303,-108.628056,5918,-7,"America/Denver"
"CFD","Coulter Fld","Texas",30.715694,-96.331361,367,-6,"America/Chicago"
"CGA","Craig Seaplane Base","Alaska",55.478889,-133.147778,0,-9,"America/Anchorage"
"CGC","Crystal River","Florida",28.8676111,-82.5741111,9,-5,"America/New_York"
"CGF","Cuyahoga County","Ohio",41.565124,-81.4863555,879,-5,"America/New_York"
"CGI","Cape Girardeau Regional Airport","Missouri",37.2253,-89.5708,342,-6,"America/Chicago"
"CGX","Meigs Field",NA,41.860278,-87.609722,585,-6,"America/Chicago"
"CGZ","Casa Grande Municipal Airport","Arizona",32.954889,-111.766832,1464,-7,"America/Phoenix"
"CHA","Lovell Fld","Tennessee",35.035278,-85.203808,683,-5,"America/New_York"
"CHI","All Airports","Illinois",41.883611,-87.631667,596,-6,"America/Chicago"
"CHO","Charlottesville-Albemarle","Virginia",38.138639,-78.452861,639,-5,"America/New_York"
"CHS","Charleston Afb Intl","South Carolina",32.898647,-80.040528,45,-5,"America/New_York"
"CHU","Chuathbaluk Airport","Alaska",61.579167,-159.215556,243,-9,"America/Anchorage"
"CIC","Chico Muni","California",39.795383,-121.858422,238,-8,"America/Los_Angeles"
"CID","Cedar Rapids","Iowa",41.884694,-91.710806,869,-6,"America/Chicago"
"CIK","Chalkyitsik Airport","Alaska",66.645,-143.74,544,-9,"America/Anchorage"
"CIL","Council Airport","Alaska",64.897778,-163.703333,85,-9,"America/Anchorage"
"CIU","Chippewa County International Airport","Michigan",46.2508,-84.4724,800,-5,"America/New_York"
"CKB","Harrison Marion Regional Airport","West Virginia",39.2966,-80.2281,1217,-5,"America/New_York"
"CKD","Crooked Creek Airport","Alaska",61.867778,-158.135,178,-9,"America/Anchorage"
"CKF","Crisp County Cordele Airport","Georgia",31.9888333,-83.7739167,310,-5,"America/New_York"
"CKV","Clarksville-Montgomery County Regional Airport","Tennessee",36.621944,-87.415,550,-6,"America/Chicago"
"CLC","Clear Lake Metroport","Texas",29.5569,-95.137497,35,-6,"America/Chicago"
"CLD","McClellan-Palomar Airport","California",33.0742,-117.1648,328,-8,"America/Los_Angeles"
