"date","id","totalCalls","answeredCalls","sales"
2015-09-01,118,56,31,10
2015-09-02,118,NA,NA,NA
2015-09-03,118,NA,NA,NA
2015-09-04,118,38,7,1
2015-09-05,118,NA,NA,NA
2015-09-06,118,55,14,4
2015-09-07,118,63,30,10
2015-09-08,118,NA,NA,NA
2015-09-09,118,NA,NA,NA
2015-09-10,118,NA,NA,NA
2015-09-11,118,NA,NA,NA
2015-09-12,118,50,16,5
2015-09-13,118,55,8,1
2015-09-14,118,NA,NA,NA
2015-09-15,118,66,32,6
2015-09-16,118,34,16,4
2015-09-17,118,61,17,6
2015-09-18,118,46,25,5
2015-09-19,118,40,25,4
2015-09-20,118,36,10,4
2015-09-21,118,53,15,4
2015-09-22,118,71,36,10
2015-09-23,118,NA,NA,NA
2015-09-24,118,66,11,1
2015-09-25,118,NA,NA,NA
2015-09-26,118,NA,NA,NA
2015-09-27,118,54,13,2
2015-09-28,118,NA,NA,NA
2015-09-29,118,68,14,4
2015-09-30,118,32,15,3
2015-10-01,118,57,34,12
2015-10-02,118,75,32,5
2015-10-03,118,NA,NA,NA
2015-10-04,118,NA,NA,NA
2015-10-05,118,58,13,4
2015-10-06,118,NA,NA,NA
2015-10-07,118,NA,NA,NA
2015-10-08,118,NA,NA,NA
2015-10-09,118,NA,NA,NA
2015-10-10,118,33,20,8
2015-10-11,118,NA,NA,NA
2015-10-12,118,52,13,4
2015-10-13,118,NA,NA,NA
2015-10-14,118,49,17,3
2015-10-15,118,NA,NA,NA
2015-10-16,118,NA,NA,NA
2015-10-17,118,NA,NA,NA
2015-10-18,118,67,31,12
2015-10-19,118,NA,NA,NA
2015-10-20,118,36,11,1
2015-10-21,118,NA,NA,NA
2015-10-22,118,NA,NA,NA
2015-10-23,118,NA,NA,NA
2015-10-24,118,NA,NA,NA
2015-10-25,118,61,18,5
2015-10-26,118,29,3,1
2015-10-27,118,NA,NA,NA
2015-10-28,118,54,9,2
2015-10-29,118,38,9,1
2015-10-30,118,31,8,1
2015-10-31,118,53,33,7
2015-11-01,118,35,21,4
2015-11-02,118,40,16,3
2015-11-03,118,NA,NA,NA
2015-11-04,118,41,12,5
2015-11-05,118,49,7,2
2015-11-06,118,NA,NA,NA
2015-11-07,118,35,19,5
2015-11-08,118,NA,NA,NA
2015-11-09,118,NA,NA,NA
2015-11-10,118,NA,NA,NA
2015-11-11,118,62,21,7
2015-11-12,118,NA,NA,NA
2015-11-13,118,67,27,11
2015-11-14,118,45,20,3
2015-11-15,118,60,24,5
2015-11-16,118,NA,NA,NA
2015-11-17,118,74,18,5
2015-11-18,118,74,46,7
2015-11-19,118,NA,NA,NA
2015-11-20,118,77,47,17
2015-11-21,118,69,25,5
2015-11-22,118,25,9,2
2015-11-23,118,NA,NA,NA
2015-11-24,118,48,23,5
2015-11-25,118,NA,NA,NA
2015-11-26,118,62,34,7
2015-11-27,118,NA,NA,NA
2015-11-28,118,58,34,9
2015-11-29,118,NA,NA,NA
2015-11-30,118,58,27,9
2015-12-01,118,NA,NA,NA
2015-12-02,118,NA,NA,NA
2015-12-03,118,28,5,1
2015-12-04,118,26,12,2
2015-12-05,118,66,30,11
2015-12-06,118,29,12,3
2015-12-07,118,51,10,3
2015-12-08,118,58,18,3
2015-12-09,118,45,23,4
2015-12-10,118,25,15,3
2015-12-11,118,NA,NA,NA
2015-12-12,118,NA,NA,NA
2015-12-13,118,76,44,14
2015-12-14,118,49,14,4
2015-12-15,118,NA,NA,NA
2015-12-16,118,35,18,4
2015-12-17,118,NA,NA,NA
2015-12-18,118,NA,NA,NA
2015-12-19,118,NA,NA,NA
2015-12-20,118,NA,NA,NA
2015-12-21,118,37,14,2
2015-12-22,118,61,13,2
2015-12-23,118,45,24,4
2015-12-24,118,NA,NA,NA
2015-12-25,118,52,24,3
2015-12-26,118,47,6,1
2015-12-27,118,49,14,5
2015-12-28,118,71,29,10
2015-12-29,118,NA,NA,NA
2015-12-30,118,32,10,2
2015-12-31,118,NA,NA,NA
2016-01-01,118,32,8,2
2016-01-02,118,67,17,5
2016-01-03,118,NA,NA,NA
2016-01-04,118,63,28,6
2016-01-05,118,62,29,7
2016-01-06,118,69,34,4
2016-01-07,118,NA,NA,NA
2016-01-08,118,NA,NA,NA
2016-01-09,118,63,26,4
2016-01-10,118,NA,NA,NA
2016-01-11,118,NA,NA,NA
2016-01-12,118,NA,NA,NA
2016-01-13,118,56,35,13
2016-01-14,118,NA,NA,NA
2016-01-15,118,60,17,3
2016-01-16,118,78,24,6
2016-01-17,118,NA,NA,NA
2016-01-18,118,NA,NA,NA
2016-01-19,118,47,14,2
2016-01-20,118,NA,NA,NA
2016-01-21,118,NA,NA,NA
2016-01-22,118,NA,NA,NA
2016-01-23,118,NA,NA,NA
2016-01-24,118,NA,NA,NA
2016-01-25,118,NA,NA,NA
2016-01-26,118,47,13,1
2016-01-27,118,NA,NA,NA
2016-01-28,118,31,19,6
2016-01-29,118,39,7,0
2016-01-30,118,NA,NA,NA
2016-01-31,118,NA,NA,NA
2016-02-01,118,69,25,5
2016-02-02,118,NA,NA,NA
2016-02-03,118,NA,NA,NA
2016-02-04,118,37,19,7
2016-02-05,118,NA,NA,NA
2016-02-06,118,76,12,4
2016-02-07,118,NA,NA,NA
2016-02-08,118,75,43,7
2016-02-09,118,77,15,5
2016-02-10,118,NA,NA,NA
2016-02-11,118,NA,NA,NA
2016-02-12,118,74,32,8
2016-02-13,118,35,16,2
2016-02-14,118,NA,NA,NA
2016-02-15,118,NA,NA,NA
2016-02-16,118,NA,NA,NA
2016-02-17,118,NA,NA,NA
2016-02-18,118,NA,NA,NA
2016-02-19,118,64,8,3
2016-02-20,118,NA,NA,NA
2016-02-21,118,NA,NA,NA
2016-02-22,118,56,13,4
2016-02-23,118,44,14,5
2016-02-24,118,NA,NA,NA
2016-02-25,118,NA,NA,NA
2016-02-26,118,NA,NA,NA
2016-02-27,118,67,40,9
2016-02-28,118,30,14,2
2016-02-29,118,NA,NA,NA
2016-03-01,118,61,35,8
2016-03-02,118,NA,NA,NA
2016-03-03,118,75,32,6
2016-03-04,118,27,4,1
2016-03-05,118,NA,NA,NA
2016-03-06,118,42,15,4
2016-03-07,118,NA,NA,NA
2016-03-08,118,NA,NA,NA
2016-03-09,118,43,8,2
2016-03-10,118,30,4,0
2016-03-11,118,NA,NA,NA
2016-03-12,118,NA,NA,NA
2016-03-13,118,NA,NA,NA
2016-03-14,118,NA,NA,NA
2016-03-15,118,NA,NA,NA
2016-03-16,118,62,28,8
2016-03-17,118,NA,NA,NA
2016-03-18,118,63,37,14
2016-03-19,118,NA,NA,NA
2016-03-20,118,70,13,4
2016-03-21,118,28,8,1
2016-03-22,118,NA,NA,NA
2016-03-23,118,50,23,8
2016-03-24,118,33,16,3
2016-03-25,118,NA,NA,NA
2016-03-26,118,NA,NA,NA
2016-03-27,118,37,22,6
2016-03-28,118,NA,NA,NA
2016-03-29,118,NA,NA,NA
2016-03-30,118,51,31,8
2016-03-31,118,42,21,4
2016-04-01,118,NA,NA,NA
2016-04-02,118,47,21,3
2016-04-03,118,41,22,8
2016-04-04,118,73,32,11
2016-04-05,118,51,18,5
2016-04-06,118,53,28,5
2016-04-07,118,NA,NA,NA
2016-04-08,118,45,23,6
2016-04-09,118,NA,NA,NA
2016-04-10,118,NA,NA,NA
2016-04-11,118,NA,NA,NA
2016-04-12,118,NA,NA,NA
2016-04-13,118,65,26,5
2016-04-14,118,NA,NA,NA
2016-04-15,118,71,39,16
2016-04-16,118,NA,NA,NA
2016-04-17,118,NA,NA,NA
2016-04-18,118,NA,NA,NA
2016-04-19,118,74,44,17
2016-04-20,118,36,8,3
2016-04-21,118,39,21,4
2016-04-22,118,NA,NA,NA
2016-04-23,118,66,19,3
2016-04-24,118,43,18,4
2016-04-25,118,NA,NA,NA
2016-04-26,118,NA,NA,NA
2016-04-27,118,NA,NA,NA
2016-04-28,118,49,20,6
2016-04-29,118,27,10,2
2016-04-30,118,NA,NA,NA
2016-05-01,118,NA,NA,NA
2016-05-02,118,34,16,3
2016-05-03,118,52,23,5
2016-05-04,118,NA,NA,NA
2016-05-05,118,59,16,5
2016-05-06,118,NA,NA,NA
2016-05-07,118,26,13,5
2016-05-08,118,NA,NA,NA
2016-05-09,118,69,24,4
2016-05-10,118,NA,NA,NA
2016-05-11,118,30,9,3
2016-05-12,118,42,21,4
2016-05-13,118,NA,NA,NA
2016-05-14,118,50,20,6
2016-05-15,118,NA,NA,NA
2016-05-16,118,NA,NA,NA
2016-05-17,118,NA,NA,NA
2016-05-18,118,NA,NA,NA
2016-05-19,118,NA,NA,NA
2016-05-20,118,NA,NA,NA
2016-05-21,118,43,12,3
2016-05-22,118,NA,NA,NA
2016-05-23,118,42,10,3
2016-05-24,118,31,16,3
2016-05-25,118,34,19,5
2016-05-26,118,52,21,6
2016-05-27,118,NA,NA,NA
2016-05-28,118,NA,NA,NA
2016-05-29,118,NA,NA,NA
2016-05-30,118,NA,NA,NA
2016-05-31,118,68,21,7
2016-06-01,118,24,11,3
2016-06-02,118,72,15,4
2016-06-03,118,72,23,5
2016-06-04,118,NA,NA,NA
2016-06-05,118,NA,NA,NA
2016-06-06,118,73,10,4
2016-06-07,118,35,9,3
2016-06-08,118,39,21,5
2016-06-09,118,25,4,0
2016-06-10,118,74,16,5
2016-06-11,118,NA,NA,NA
2016-06-12,118,62,25,3
2016-06-13,118,35,4,1
2016-06-14,118,60,17,6
2016-06-15,118,61,27,4
2016-06-16,118,NA,NA,NA
2016-06-17,118,NA,NA,NA
2016-06-18,118,NA,NA,NA
2016-06-19,118,NA,NA,NA
2016-06-20,118,67,10,4
2016-06-21,118,56,31,8
2016-06-22,118,28,11,2
2016-06-23,118,NA,NA,NA
2016-06-24,118,NA,NA,NA
2016-06-25,118,NA,NA,NA
2016-06-26,118,NA,NA,NA
2016-06-27,118,NA,NA,NA
2016-06-28,118,58,36,13
2016-06-29,118,NA,NA,NA
2016-06-30,118,70,39,9
2016-07-01,118,NA,NA,NA
2016-07-02,118,24,6,2
2016-07-03,118,42,9,2
2016-07-04,118,53,13,5
2016-07-05,118,NA,NA,NA
2016-07-06,118,53,17,5
2016-07-07,118,NA,NA,NA
2016-07-08,118,NA,NA,NA
2016-07-09,118,NA,NA,NA
2016-07-10,118,45,25,3
2016-07-11,118,75,38,13
2016-07-12,118,58,22,5
2016-07-13,118,68,29,4
2016-07-14,118,66,17,6
2016-07-15,118,31,13,3
2016-07-16,118,NA,NA,NA
2016-07-17,118,NA,NA,NA
2016-07-18,118,NA,NA,NA
2016-07-19,118,NA,NA,NA
2016-07-20,118,30,5,0
2016-07-21,118,68,34,13
2016-07-22,118,NA,NA,NA
2016-07-23,118,48,24,9
2016-07-24,118,64,21,6
2016-07-25,118,72,17,5
2016-07-26,118,62,13,1
2016-07-27,118,59,21,8
2016-07-28,118,35,21,6
2016-07-29,118,44,15,3
2016-07-30,118,NA,NA,NA
2016-07-31,118,NA,NA,NA
2016-08-01,118,56,18,2
2016-08-02,118,52,18,4
2016-08-03,118,31,19,7
2016-08-04,118,NA,NA,NA
2016-08-05,118,NA,NA,NA
2016-08-06,118,54,29,10
2016-08-07,118,63,16,4
2016-08-08,118,NA,NA,NA
2016-08-09,118,29,9,3
2016-08-10,118,NA,NA,NA
2016-08-11,118,NA,NA,NA
2016-08-12,118,NA,NA,NA
2016-08-13,118,47,24,8
2016-08-14,118,NA,NA,NA
2016-08-15,118,46,25,8
2016-08-16,118,NA,NA,NA
2016-08-17,118,48,7,2
2016-08-18,118,50,31,6
2016-08-19,118,63,34,6
2016-08-20,118,33,4,0
2016-08-21,118,73,25,3
2016-08-22,118,NA,NA,NA
2016-08-23,118,NA,NA,NA
2016-08-24,118,NA,NA,NA
2016-08-25,118,69,36,7
2016-08-26,118,NA,NA,NA
2016-08-27,118,52,22,3
2016-08-28,118,NA,NA,NA
2016-08-29,118,49,22,9
2016-08-30,118,77,39,16
2016-08-31,118,NA,NA,NA
2016-09-01,118,49,23,3
2016-09-02,118,43,10,2
2016-09-03,118,NA,NA,NA
2016-09-04,118,NA,NA,NA
2016-09-05,118,NA,NA,NA
2016-09-06,118,NA,NA,NA
2016-09-07,118,NA,NA,NA
2016-09-08,118,NA,NA,NA
2016-09-09,118,44,14,5
2016-09-10,118,NA,NA,NA
2016-09-11,118,33,17,6
2016-09-12,118,NA,NA,NA
2016-09-13,118,NA,NA,NA
2016-09-14,118,NA,NA,NA
2016-09-15,118,67,11,2
2016-09-16,118,66,35,13
2016-09-17,118,NA,NA,NA
2016-09-18,118,NA,NA,NA
2016-09-19,118,54,25,9
2016-09-20,118,NA,NA,NA
2016-09-21,118,31,17,3
2016-09-22,118,69,34,8
2016-09-23,118,NA,NA,NA
2016-09-24,118,NA,NA,NA
2016-09-25,118,52,22,3
2016-09-26,118,NA,NA,NA
2016-09-27,118,57,26,6
2016-09-28,118,NA,NA,NA
2016-09-29,118,44,14,5
2016-09-30,118,NA,NA,NA
2016-10-01,118,NA,NA,NA
2016-10-02,118,NA,NA,NA
2016-10-03,118,69,22,3
2016-10-04,118,47,27,11
2016-10-05,118,35,14,4
2016-10-06,118,NA,NA,NA
2016-10-07,118,73,18,7
2016-10-08,118,62,22,5
2016-10-09,118,44,16,2
2016-10-10,118,50,12,4
2016-10-11,118,69,39,5
2016-10-12,118,NA,NA,NA
2016-10-13,118,42,9,2
2016-10-14,118,NA,NA,NA
2016-10-15,118,NA,NA,NA
2016-10-16,118,NA,NA,NA
2016-10-17,118,NA,NA,NA
2016-10-18,118,NA,NA,NA
2016-10-19,118,NA,NA,NA
2016-10-20,118,60,36,6
2016-10-21,118,76,36,12
2016-10-22,118,41,23,6
2016-10-23,118,50,29,5
2016-10-24,118,NA,NA,NA
2016-10-25,118,39,20,7
2016-10-26,118,NA,NA,NA
2016-10-27,118,76,43,13
2016-10-28,118,25,9,1
2016-10-29,118,NA,NA,NA
2016-10-30,118,NA,NA,NA
2016-10-31,118,NA,NA,NA
2016-11-01,118,NA,NA,NA
2016-11-02,118,28,11,3
2016-11-03,118,NA,NA,NA
2016-11-04,118,60,14,5
2016-11-05,118,NA,NA,NA
2016-11-06,118,37,14,3
2016-11-07,118,NA,NA,NA
2016-11-08,118,44,10,2
2016-11-09,118,37,12,2
2016-11-10,118,71,28,11
2016-11-11,118,53,13,4
2016-11-12,118,NA,NA,NA
2016-11-13,118,NA,NA,NA
2016-11-14,118,63,8,1
2016-11-15,118,58,12,2
2016-11-16,118,25,7,2
2016-11-17,118,69,9,1
2016-11-18,118,51,9,1
2016-11-19,118,60,31,9
2016-11-20,118,NA,NA,NA
2016-11-21,118,NA,NA,NA
2016-11-22,118,NA,NA,NA
2016-11-23,118,NA,NA,NA
2016-11-24,118,75,40,15
2016-11-25,118,76,15,5
2016-11-26,118,43,21,2
2016-11-27,118,NA,NA,NA
2016-11-28,118,61,32,8
2016-11-29,118,74,36,14
2016-11-30,118,NA,NA,NA
2016-12-01,118,68,37,6
2016-12-02,118,48,24,9
2016-12-03,118,56,15,6
2016-12-04,118,38,7,0
2016-12-05,118,63,19,4
2016-12-06,118,NA,NA,NA
2016-12-07,118,72,14,4
2016-12-08,118,59,31,10
2016-12-09,118,31,15,2
2016-12-10,118,63,8,3
2016-12-11,118,25,12,3
2016-12-12,118,NA,NA,NA
2016-12-13,118,NA,NA,NA
2016-12-14,118,NA,NA,NA
2016-12-15,118,NA,NA,NA
2016-12-16,118,66,24,9
2016-12-17,118,44,9,1
2016-12-18,118,50,13,4
2016-12-19,118,NA,NA,NA
2016-12-20,118,NA,NA,NA
2016-12-21,118,NA,NA,NA
2016-12-22,118,46,11,1
2016-12-23,118,NA,NA,NA
2016-12-24,118,NA,NA,NA
2016-12-25,118,NA,NA,NA
2016-12-26,118,39,16,3
2016-12-27,118,41,23,4
2016-12-28,118,37,15,6
2016-12-29,118,52,28,11
2016-12-30,118,NA,NA,NA
2016-12-31,118,42,24,7
2017-01-01,118,46,14,3
2017-01-02,118,NA,NA,NA
2017-01-03,118,72,26,10
2017-01-04,118,56,28,10
2017-01-05,118,NA,NA,NA
2017-01-06,118,NA,NA,NA
2017-01-07,118,NA,NA,NA
2017-01-08,118,NA,NA,NA
2017-01-09,118,NA,NA,NA
2017-01-10,118,37,20,7
2017-01-11,118,NA,NA,NA
2017-01-12,118,NA,NA,NA
2017-01-13,118,42,9,3
2017-01-14,118,NA,NA,NA
2017-01-15,118,NA,NA,NA
2017-01-16,118,NA,NA,NA
2017-01-17,118,NA,NA,NA
2017-01-18,118,NA,NA,NA
2017-01-19,118,56,32,10
2017-01-20,118,46,29,8
2017-01-21,118,NA,NA,NA
2017-01-22,118,62,27,7
2017-01-23,118,NA,NA,NA
2017-01-24,118,NA,NA,NA
2017-01-25,118,78,39,10
2017-01-26,118,31,7,2
2017-01-27,118,45,14,4
2017-01-28,118,NA,NA,NA
2017-01-29,118,61,16,6
2017-01-30,118,44,13,4
2017-01-31,118,53,29,4
2017-02-01,118,45,18,3
2017-02-02,118,40,6,1
2017-02-03,118,NA,NA,NA
2017-02-04,118,41,24,5
2017-02-05,118,NA,NA,NA
2017-02-06,118,NA,NA,NA
2017-02-07,118,45,26,7
2017-02-08,118,62,28,3
2017-02-09,118,NA,NA,NA
2017-02-10,118,NA,NA,NA
2017-02-11,118,NA,NA,NA
2017-02-12,118,48,20,4
2017-02-13,118,73,28,7
2017-02-14,118,NA,NA,NA
2017-02-15,118,NA,NA,NA
2017-02-16,118,NA,NA,NA
2017-02-17,118,NA,NA,NA
2017-02-18,118,NA,NA,NA
2017-02-19,118,59,20,6
2017-02-20,118,50,30,11
2017-02-21,118,24,15,5
2017-02-22,118,NA,NA,NA
2017-02-23,118,NA,NA,NA
2017-02-24,118,59,35,8
2017-02-25,118,NA,NA,NA
2017-02-26,118,28,10,1
2017-02-27,118,39,21,6
2017-02-28,118,64,38,14
2017-03-01,118,NA,NA,NA
2017-03-02,118,31,9,1
2017-03-03,118,NA,NA,NA
2017-03-04,118,53,7,2
2017-03-05,118,NA,NA,NA
2017-03-06,118,NA,NA,NA
2017-03-07,118,NA,NA,NA
2017-03-08,118,68,37,12
2017-03-09,118,45,15,5
2017-03-10,118,NA,NA,NA
2017-03-11,118,NA,NA,NA
2017-03-12,118,NA,NA,NA
2017-03-13,118,NA,NA,NA
2017-03-14,118,NA,NA,NA
2017-03-15,118,NA,NA,NA
2017-03-16,118,NA,NA,NA
2017-03-17,118,36,5,1
2017-03-18,118,NA,NA,NA
2017-03-19,118,68,33,6
2017-03-20,118,70,22,3
2017-03-21,118,NA,NA,NA
2017-03-22,118,NA,NA,NA
2017-03-23,118,53,32,12
2017-03-24,118,NA,NA,NA
2017-03-25,118,35,14,3
2017-03-26,118,76,43,14
2017-03-27,118,48,21,8
2017-03-28,118,66,32,8
2017-03-29,118,NA,NA,NA
2017-03-30,118,NA,NA,NA
2017-03-31,118,NA,NA,NA
2017-04-01,118,NA,NA,NA
2017-04-02,118,35,5,1
2017-04-03,118,40,16,6
2017-04-04,118,76,38,7
2017-04-05,118,43,19,5
2017-04-06,118,NA,NA,NA
2017-04-07,118,NA,NA,NA
2017-04-08,118,NA,NA,NA
2017-04-09,118,NA,NA,NA
2017-04-10,118,NA,NA,NA
2017-04-11,118,43,26,9
2017-04-12,118,29,4,1
2017-04-13,118,NA,NA,NA
2017-04-14,118,NA,NA,NA
2017-04-15,118,35,6,1
2017-04-16,118,NA,NA,NA
2017-04-17,118,58,36,11
2017-04-18,118,44,24,5
2017-04-19,118,NA,NA,NA
2017-04-20,118,53,8,2
2017-04-21,118,35,22,4
2017-04-22,118,NA,NA,NA
2017-04-23,118,NA,NA,NA
2017-04-24,118,NA,NA,NA
2017-04-25,118,72,24,10
2017-04-26,118,NA,NA,NA
